06/01/2021 11:51:24:439 [08796] | INFO  | Initializing crosire's ReShade version '2.0.3.1120' built on '2016-04-03 19:20:33' loaded from "E:\Games\Freelancer Game\FL_MOD\EXE\d3d8.dll" to "E:\Games\Freelancer Game\FL_MOD\EXE\Freelancer_window.exe" ...
06/01/2021 11:51:24:535 [08796] | INFO  | Registering hooks for "C:\Windows\system32\d3d8.dll" ...
06/01/2021 11:51:24:535 [08796] | INFO  | > Delayed.
06/01/2021 11:51:24:535 [08796] | INFO  | Registering hooks for "C:\Windows\system32\d3d9.dll" ...
06/01/2021 11:51:24:535 [08796] | INFO  | > Delayed.
06/01/2021 11:51:24:535 [08796] | INFO  | Registering hooks for "C:\Windows\system32\d3d10.dll" ...
06/01/2021 11:51:24:535 [08796] | INFO  | > Delayed.
06/01/2021 11:51:24:535 [08796] | INFO  | Registering hooks for "C:\Windows\system32\d3d10_1.dll" ...
06/01/2021 11:51:24:535 [08796] | INFO  | > Delayed.
06/01/2021 11:51:24:535 [08796] | INFO  | Registering hooks for "C:\Windows\system32\d3d11.dll" ...
06/01/2021 11:51:24:535 [08796] | INFO  | > Delayed.
06/01/2021 11:51:24:535 [08796] | INFO  | Registering hooks for "C:\Windows\system32\d3d12.dll" ...
06/01/2021 11:51:24:536 [08796] | INFO  | > Delayed.
06/01/2021 11:51:24:536 [08796] | INFO  | Registering hooks for "C:\Windows\system32\dxgi.dll" ...
06/01/2021 11:51:24:536 [08796] | INFO  | > Delayed.
06/01/2021 11:51:24:536 [08796] | INFO  | Registering hooks for "C:\Windows\system32\opengl32.dll" ...
06/01/2021 11:51:24:536 [08796] | INFO  | > Delayed.
06/01/2021 11:51:24:536 [08796] | INFO  | Registering hooks for "C:\Windows\system32\user32.dll" ...
06/01/2021 11:51:24:536 [08796] | INFO  | > Libraries loaded.
06/01/2021 11:51:24:537 [08796] | INFO  | > Found 5 match(es). Installing ...
06/01/2021 11:51:24:657 [08796] | INFO  | > Installed 5 hook(s).
06/01/2021 11:51:24:657 [08796] | INFO  | Registering hooks for "C:\Windows\system32\ws2_32.dll" ...
06/01/2021 11:51:24:657 [08796] | INFO  | > Libraries loaded.
06/01/2021 11:51:24:657 [08796] | INFO  | > Found 8 match(es). Installing ...
06/01/2021 11:51:24:849 [08796] | INFO  | > Installed 8 hook(s).
06/01/2021 11:51:24:850 [08796] | INFO  | Initialized.
06/01/2021 11:51:25:023 [08796] | INFO  | Redirecting 'Direct3DCreate8(120)' ...
06/01/2021 11:51:25:023 [08796] | INFO  | > Passing on to 'Direct3DCreate9':
06/01/2021 11:51:25:026 [08796] | INFO  | Installing delayed hooks for "C:\Windows\system32\d3d9.dll" (Just loaded via 'LoadLibraryA("d3d9.dll")') ...
06/01/2021 11:51:25:026 [08796] | INFO  | > Found 9 match(es). Installing ...
06/01/2021 11:51:25:247 [08796] | INFO  | > Installed 9 hook(s).
06/01/2021 11:51:25:248 [08796] | INFO  | Redirecting 'Direct3DCreate9(32)' ...
